module,attributes,cluster,metric,score
ggg,stdnt_abd,kmeans,recall,0.0
ggg,stdnt_abi,kmeans,accuracy,0.9777624942686841
ggg,stdnt_abi,kmeans,fscore,0.0
ggg,stdnt_abi,kmeans,precision,0.0
ggg,stdnt_abi,kmeans,recall,0.0
ggg,asmt_stdnt_abd,kmeans,accuracy,0.9777624942686841
ggg,asmt_stdnt_abd,kmeans,fscore,0.0
ggg,asmt_stdnt_abd,kmeans,precision,0.0
ggg,asmt_stdnt_abd,kmeans,recall,0.0
ggg,asmt_stdnt_abi,kmeans,accuracy,0.9777624942686841
ggg,asmt_stdnt_abi,kmeans,fscore,0.0
ggg,asmt_stdnt_abi,kmeans,precision,0.0
ggg,asmt_stdnt_abi,kmeans,recall,0.0
zzz,asmt,kmeans,accuracy,0.9473286290322581
zzz,asmt,kmeans,fscore,0.0
zzz,asmt,kmeans,precision,0.0
zzz,asmt,kmeans,recall,0.0
zzz,stdnt,kmeans,accuracy,0.9473286290322581
zzz,stdnt,kmeans,fscore,0.0
zzz,stdnt,kmeans,precision,0.0
zzz,stdnt,kmeans,recall,0.0
zzz,abd,kmeans,accuracy,0.9473286290322581
zzz,abd,kmeans,fscore,0.0
zzz,abd,kmeans,precision,0.0
zzz,abd,kmeans,recall,0.0
zzz,abi,kmeans,accuracy,0.9473286290322581
zzz,abi,kmeans,fscore,0.0
zzz,abi,kmeans,precision,0.0
zzz,abi,kmeans,recall,0.0
zzz,asmt_stdnt,kmeans,accuracy,0.9473286290322581
zzz,asmt_stdnt,kmeans,fscore,0.0
zzz,asmt_stdnt,kmeans,precision,0.0
zzz,asmt_stdnt,kmeans,recall,0.0
zzz,asmt_abd,kmeans,accuracy,0.9473286290322581
zzz,asmt_abd,kmeans,fscore,0.0
zzz,asmt_abd,kmeans,precision,0.0
zzz,asmt_abd,kmeans,recall,0.0
zzz,asmt_abi,kmeans,accuracy,0.9473286290322581
zzz,asmt_abi,kmeans,fscore,0.0
zzz,asmt_abi,kmeans,precision,0.0
zzz,asmt_abi,kmeans,recall,0.0
zzz,stdnt_abd,kmeans,accuracy,0.9473286290322581
zzz,stdnt_abd,kmeans,fscore,0.0
zzz,stdnt_abd,kmeans,precision,0.0
zzz,stdnt_abd,kmeans,recall,0.0
zzz,stdnt_abi,kmeans,accuracy,0.9473286290322581
zzz,stdnt_abi,kmeans,fscore,0.0
zzz,stdnt_abi,kmeans,precision,0.0
zzz,stdnt_abi,kmeans,recall,0.0
zzz,asmt_stdnt_abd,kmeans,accuracy,0.9473286290322581
zzz,asmt_stdnt_abd,kmeans,fscore,0.0
zzz,asmt_stdnt_abd,kmeans,precision,0.0
zzz,asmt_stdnt_abd,kmeans,recall,0.0
zzz,asmt_stdnt_abi,kmeans,accuracy,0.9473286290322581
zzz,asmt_stdnt_abi,kmeans,fscore,0.0
zzz,asmt_stdnt_abi,kmeans,precision,0.0
zzz,asmt_stdnt_abi,kmeans,recall,0.0
