module,attributes,cluster,metric,score
ggg,stdnt_abi,kmeans,accuracy,0.951856946354883
ggg,stdnt_abi,kmeans,fscore,0.0032043945983062485
ggg,stdnt_abi,kmeans,precision,0.07216494845360824
ggg,stdnt_abi,kmeans,recall,0.05511811023622047
ggg,asmt_stdnt_abd,kmeans,accuracy,0.9569005043558001
ggg,asmt_stdnt_abd,kmeans,fscore,0.004574565416285453
ggg,asmt_stdnt_abd,kmeans,precision,0.10309278350515463
ggg,asmt_stdnt_abd,kmeans,recall,0.09009009009009009
ggg,asmt_stdnt_abi,kmeans,accuracy,0.9534617148097203
ggg,asmt_stdnt_abi,kmeans,fscore,0.006854009595613434
ggg,asmt_stdnt_abi,kmeans,precision,0.15463917525773196
ggg,asmt_stdnt_abi,kmeans,recall,0.11029411764705882
zzz,asmt,kmeans,accuracy,0.9473286290322581
zzz,asmt,kmeans,fscore,0.0
zzz,asmt,kmeans,precision,0.0
zzz,asmt,kmeans,recall,0.0
zzz,stdnt,kmeans,accuracy,0.9305065524193549
zzz,stdnt,kmeans,fscore,0.0017625582273700113
zzz,stdnt,kmeans,precision,0.01674641148325359
zzz,stdnt,kmeans,recall,0.04745762711864407
zzz,abd,kmeans,accuracy,0.8966523857526881
zzz,abd,kmeans,fscore,0.010736740960457878
zzz,abd,kmeans,precision,0.10247208931419458
zzz,abd,kmeans,recall,0.08780321147933037
zzz,abi,kmeans,accuracy,0.8909820228494624
zzz,abi,kmeans,fscore,0.011608969808326722
zzz,abi,kmeans,precision,0.11084529505582137
zzz,abi,kmeans,recall,0.08582895955541833
zzz,asmt_stdnt,kmeans,accuracy,0.8922421034946236
zzz,asmt_stdnt,kmeans,fscore,0.008865099941456888
zzz,asmt_stdnt,kmeans,precision,0.08452950558213716
zzz,asmt_stdnt,kmeans,recall,0.06957663275352806
zzz,asmt_abd,kmeans,accuracy,0.8792842741935484
zzz,asmt_abd,kmeans,fscore,0.01471783860409848
zzz,asmt_abd,kmeans,precision,0.14074960127591707
zzz,asmt_abd,kmeans,recall,0.08945767866193614
zzz,asmt_abi,kmeans,accuracy,0.8812373991935484
zzz,asmt_abi,kmeans,fscore,0.014841991161510882
zzz,asmt_abi,kmeans,precision,0.1419457735247209
zzz,asmt_abi,kmeans,recall,0.0922518787250583
zzz,stdnt_abd,kmeans,accuracy,0.8878318212365591
zzz,stdnt_abd,kmeans,fscore,0.012563390863367907
zzz,stdnt_abd,kmeans,precision,0.12001594896331738
zzz,stdnt_abd,kmeans,recall,0.087627365356623
zzz,stdnt_abi,kmeans,accuracy,0.8932081653225806
zzz,stdnt_abi,kmeans,fscore,0.012231522260953058
zzz,stdnt_abi,kmeans,precision,0.11682615629984051
zzz,stdnt_abi,kmeans,recall,0.09263357571925387
zzz,asmt_stdnt_abd,kmeans,accuracy,0.8858786962365591
zzz,asmt_stdnt_abd,kmeans,fscore,0.01364119892372192
zzz,asmt_stdnt_abd,kmeans,precision,0.1303827751196172
zzz,asmt_stdnt_abd,kmeans,recall,0.09134078212290503
zzz,asmt_stdnt_abi,kmeans,accuracy,0.8764910954301075
zzz,asmt_stdnt_abi,kmeans,fscore,0.015007503751875938
zzz,asmt_stdnt_abi,kmeans,precision,0.14354066985645933
zzz,asmt_stdnt_abi,kmeans,recall,0.08795504519912045
